time,rollRate
2.09, -0.97265625
2.11, -0.962890625
2.13, -0.9594726562
2.15, -0.96875
2.17, -0.9819335938
2.19, -0.9848632812
2.21, -0.9799804688
2.23, -0.9819335938
2.25, -0.9916992188
2.27, -0.9975585938
2.29, -0.99609375
2.31, -0.9931640625
2.33, -0.9946289062
2.35, -0.9995117188
2.37, -1
2.39, -0.9907226562
2.41, -0.9755859375
2.43, -0.9697265625
2.45, -0.9799804688
2.47, -0.9946289062
2.49, -0.9985351562
2.51, -0.9985351562
2.53, -1.0078125
2.55, -1.0234375
2.57, -1.026367188
2.59, -1.012695312
2.615, -0.9970703125
2.635, -0.9921875
2.655, -0.9975585938
2.675, -1
2.695, -0.9965820312
2.715, -0.9887695312
2.735, -0.9838867188
2.755, -0.9848632812
2.775, -0.9853515625
2.795, -0.9799804688
2.81, -0.974609375
2.83, -0.9790039062
2.85, -0.9907226562
2.87, -0.994140625
2.89, -0.9868164062
2.91, -0.98046875
2.93, -0.9819335938
2.95, -0.9868164062
2.97, -0.9868164062
2.99, -0.9829101562
3.01, -0.9833984375
3.03, -0.9946289062
3.05, -1.010742188
3.07, -1.021484375
3.09, -1.01953125
3.11, -1.010742188
3.13, -1.0078125
3.15, -1.013671875
3.17, -1.017578125
3.19, -1.01171875
3.21, -1.001953125
3.23, -0.9975585938
3.25, -0.9965820312
3.27, -0.9926757812
3.29, -0.9858398438
3.31, -0.9838867188
3.33, -0.9892578125
3.35, -0.9946289062
3.37, -0.9892578125
3.39, -0.9755859375
3.414, -0.9658203125
3.434, -0.966796875
3.454, -0.9731445312
3.474, -0.9750976562
3.494, -0.9716796875
3.514, -0.970703125
3.534, -0.9765625
3.554, -0.9838867188
3.574, -0.9868164062
3.594, -0.9858398438
3.61, -0.9833984375
3.63, -0.98046875
3.65, -0.9794921875
3.67, -0.9760742188
3.69, -0.970703125
3.71, -0.9672851562
3.73, -0.9716796875
3.75, -0.9780273438
3.77, -0.9780273438
3.79, -0.9750976562
3.81, -0.9780273438
3.83, -0.986328125
3.85, -0.9916992188
3.87, -0.990234375
3.89, -0.9848632812
3.91, -0.978515625
3.93, -0.9760742188
3.95, -0.9750976562
3.97, -0.9697265625
3.99, -0.9609375
4.01, -0.9575195312
4.03, -0.9624023438
4.05, -0.966796875
4.07, -0.9658203125
4.09, -0.9672851562
4.11, -0.9775390625
4.13, -0.9907226562
4.15, -0.9975585938
4.17, -0.9936523438
4.19, -0.982421875
4.21, -0.9760742188
4.23, -0.9741210938
4.25, -0.9692382812
4.27, -0.9614257812
4.29, -0.9580078125
4.31, -0.966796875
4.33, -0.9858398438
4.35, -1.005859375
4.37, -1.018554688
4.39, -1.024414062
4.412, -1.030273438
4.432, -1.036132812
4.452, -1.034179688
4.472, -1.02734375
4.492, -1.022460938
4.512, -1.018554688
4.532, -1.010742188
4.552, -0.9990234375
4.572, -0.9897460938
4.592, -0.9873046875
4.62, -0.9907226562
4.64, -0.9916992188
4.66, -0.9858398438
4.68, -0.9819335938
4.7, -0.982421875
4.72, -0.9858398438
4.74, -0.9897460938
4.76, -0.9916992188
4.78, -0.9921875
4.8, -0.994140625
4.821, -0.998046875
4.841, -0.9995117188
4.861, -0.99609375
4.881, -0.9921875
4.901, -0.9936523438
4.921, -0.9965820312
4.941, -0.9946289062
4.961, -0.9887695312
4.981, -0.9873046875
5.001, -0.9936523438
5.026, -1.00390625
5.046, -1.010742188
5.066, -1.006835938
5.086, -0.9946289062
5.106, -0.9829101562
5.126, -0.9760742188
5.146, -0.9711914062
5.166, -0.9658203125
5.186, -0.9658203125
5.206, -0.9736328125
5.222, -0.9838867188
5.242, -0.9887695312
5.262, -0.9873046875
5.282, -0.9848632812
5.302, -0.9873046875
5.322, -0.99609375
5.342, -1.006835938
5.362, -1.013671875
5.382, -1.017578125
5.402, -1.022460938
5.421, -1.01953125
5.441, -0.9965820312
5.461, -0.9604492188
5.481, -0.9350585938
5.501, -0.9301757812
5.521, -0.9350585938
5.541, -0.9375
5.561, -0.9389648438
5.581, -0.951171875
5.601, -0.9780273438
5.621, -1.002929688
5.641, -1.0078125
5.661, -0.9931640625
5.681, -0.9794921875
5.701, -0.9809570312
5.721, -0.9877929688
5.741, -0.974609375
5.761, -0.9428710938
5.781, -0.92578125
5.801, -0.9458007812
5.821, -0.9750976562
5.841, -0.974609375
5.861, -0.9560546875
5.881, -0.9663085938
5.901, -1.001953125
5.921, -1.0078125
5.941, -0.9638671875
5.961, -0.9272460938
5.981, -0.9487304688
6.001, -0.9916992188
6.02, -0.994140625
6.04, -0.9692382812
6.06, -0.978515625
6.08, -1.033203125
6.1, -1.080078125
6.12, -1.079101562
6.14, -1.051757812
6.16, -1.029296875
6.18, -1.009765625
6.2, -0.9833984375
6.22, -0.96875
6.24, -0.990234375
6.26, -1.025390625
6.28, -1.040039062
6.3, -1.032226562
6.32, -1.024414062
6.34, -1.017578125
6.36, -0.9990234375
6.38, -0.9765625
6.4, -0.970703125
6.421, -0.9833984375
6.441, -0.9956054688
6.461, -0.998046875
6.481, -1.01171875
6.501, -1.041015625
6.521, -1.051757812
6.541, -1.029296875
6.561, -1.001953125
6.581, -0.9965820312
6.601, -0.9951171875
6.622, -0.9736328125
6.642, -0.94921875
6.662, -0.951171875
6.682, -0.978515625
6.702, -1.002929688
6.722, -1.013671875
6.742, -1.017578125
6.762, -1.022460938
6.782, -1.017578125
6.802, -0.9970703125
6.82, -0.9716796875
6.84, -0.9658203125
6.86, -0.9794921875
6.88, -0.9926757812
6.9, -0.99609375
6.92, -0.9965820312
6.94, -1.000976562
6.96, -1.005859375
6.98, -1.000976562
7, -0.9873046875
7.02, -0.9755859375
7.04, -0.9736328125
7.06, -0.9765625
7.08, -0.9838867188
7.1, -0.9946289062
7.12, -1.001953125
7.14, -1
7.16, -0.9887695312
7.18, -0.9770507812
7.2, -0.9672851562
7.22, -0.9555664062
7.24, -0.9384765625
7.26, -0.927734375
7.28, -0.9389648438
7.3, -0.966796875
7.32, -0.994140625
7.34, -1.01171875
7.36, -1.02734375
7.38, -1.041992188
7.4, -1.036132812
7.421, -1.000976562
7.441, -0.9575195312
7.461, -0.9379882812
7.481, -0.9458007812
7.501, -0.9624023438
7.521, -0.9780273438
7.541, -0.99609375
7.561, -1.016601562
7.581, -1.02734375
7.601, -1.022460938
7.62, -1.006835938
7.64, -0.98828125
7.66, -0.9721679688
7.68, -0.9594726562
7.7, -0.953125
7.72, -0.9594726562
7.74, -0.98046875
7.76, -1.0078125
7.78, -1.029296875
7.8, -1.033203125
7.82, -1.018554688
7.84, -0.994140625
7.86, -0.974609375
7.88, -0.9643554688
7.9, -0.9584960938
7.92, -0.9506835938
7.94, -0.9458007812
7.96, -0.958984375
7.98, -0.9858398438
8, -1.008789062
8.021, -1.021484375
8.041, -1.03125
8.061, -1.044921875
8.081, -1.049804688
8.101, -1.0390625
8.121, -1.029296875
8.141, -1.0390625
8.161, -1.059570312
8.181, -1.075195312
8.201, -1.084960938
8.227, -1.09375
8.247, -1.099609375
8.267, -1.095703125
8.287, -1.079101562
8.307, -1.047851562
8.327, -1.013671875
8.347, -0.9956054688
8.367, -0.9975585938
8.387, -1.002929688
8.407, -1.001953125
8.42, -1
8.44, -1.005859375
8.46, -1.015625
8.48, -1.012695312
8.5, -0.9965820312
8.52, -0.9829101562
8.54, -0.9794921875
8.56, -0.9790039062
8.58, -0.9775390625
8.6, -0.9809570312
8.621, -0.9951171875
8.641, -1.012695312
8.661, -1.022460938
8.681, -1.010742188
8.701, -0.9697265625
8.721, -0.912109375
8.741, -0.8657226562
8.761, -0.8364257812
8.781, -0.8149414062
8.801, -0.8125
8.821, -0.8505859375
8.841, -0.9267578125
8.861, -1.000976562
8.881, -1.037109375
8.901, -1.041015625
8.921, -1.036132812
8.941, -1.021484375
8.961, -0.9829101562
8.981, -0.9287109375
9.001, -0.8974609375
9.021, -0.904296875
9.041, -0.9267578125
9.061, -0.94140625
9.081, -0.9580078125
9.101, -0.9975585938
9.121, -1.047851562
9.141, -1.067382812
9.161, -1.0390625
9.181, -0.9926757812
9.201, -0.953125
9.221, -0.923828125
9.241, -0.904296875
9.261, -0.9018554688
9.281, -0.9248046875
9.301, -0.96875
9.321, -1.014648438
9.341, -1.04296875
9.361, -1.043945312
9.381, -1.018554688
9.401, -0.982421875
9.421, -0.9555664062
9.441, -0.9409179688
9.461, -0.9291992188
9.481, -0.9223632812
9.501, -0.939453125
9.521, -0.9887695312
9.541, -1.037109375
9.561, -1.051757812
9.581, -1.044921875
9.601, -1.038085938
9.626, -1.025390625
9.646, -0.9907226562
9.666, -0.9467773438
9.686, -0.92578125
9.706, -0.9404296875
9.726, -0.9697265625
9.746, -0.9936523438
9.766, -1.013671875
9.786, -1.037109375
9.806, -1.051757812
9.821, -1.04296875
9.841, -1.014648438
9.861, -0.9833984375
9.881, -0.9633789062
9.901, -0.9584960938
9.921, -0.966796875
9.941, -0.98828125
9.961, -1.016601562
9.981, -1.040039062
10.001, -1.049804688
10.021, -1.044921875
10.041, -1.028320312
10.061, -0.998046875
10.081, -0.9653320312
10.101, -0.9448242188
10.121, -0.9404296875
10.141, -0.9453125
10.161, -0.9560546875
10.181, -0.9760742188
10.201, -0.9946289062
10.221, -0.9931640625
10.241, -0.970703125
10.261, -0.9501953125
10.281, -0.9501953125
10.301, -0.9604492188
10.321, -0.966796875
10.341, -0.9750976562
10.361, -0.9990234375
10.381, -1.022460938
10.401, -1.026367188
10.421, -1.010742188
10.441, -0.9946289062
10.461, -0.9877929688
10.481, -0.9819335938
10.501, -0.96875
10.521, -0.9619140625
10.541, -0.978515625
10.561, -1.0078125
10.581, -1.030273438
10.601, -1.0390625
10.621, -1.041015625
10.641, -1.0390625
10.661, -1.02734375
10.681, -1.010742188
10.701, -1.000976562
10.721, -1.00390625
10.741, -1.014648438
10.761, -1.022460938
10.781, -1.026367188
10.801, -1.026367188
10.821, -1.021484375
10.841, -1.0078125
10.861, -0.9936523438
10.881, -0.9833984375
10.901, -0.974609375
10.921, -0.9643554688
10.941, -0.9565429688
10.961, -0.9638671875
10.981, -0.9873046875
11.001, -1.012695312
11.022, -1.030273438
11.042, -1.044921875
11.062, -1.053710938
11.082, -1.043945312
11.102, -1.015625
11.122, -0.994140625
11.142, -0.9868164062
11.162, -0.9780273438
11.182, -0.9624023438
11.202, -0.9565429688
11.225, -0.9765625
11.245, -1.00390625
11.265, -1.000976562
11.285, -0.95703125
11.305, -0.896484375
11.325, -0.8569335938
11.345, -0.8505859375
11.365, -0.8671875
11.385, -0.89453125
11.405, -0.9291992188
11.421, -0.96484375
11.441, -0.994140625
11.461, -1.01953125
11.481, -1.049804688
11.501, -1.086914062
11.521, -1.116210938
11.541, -1.12109375
11.561, -1.104492188
11.581, -1.083984375
11.601, -1.065429688
11.621, -1.040039062
11.641, -1.008789062
11.661, -0.98828125
11.681, -0.9829101562
11.701, -0.98046875
11.721, -0.9750976562
11.741, -0.984375
11.761, -1.008789062
11.781, -1.026367188
11.801, -1.021484375
11.821, -1.008789062
11.841, -1.009765625
11.861, -1.012695312
11.881, -0.9995117188
11.901, -0.9780273438
11.921, -0.9765625
11.941, -1.000976562
11.961, -1.0234375
11.981, -1.0234375
12.001, -1.008789062
12.021, -0.9931640625
12.041, -0.9799804688
12.061, -0.9716796875
12.081, -0.96484375
12.101, -0.9580078125
12.121, -0.9609375
12.141, -0.9907226562
12.161, -1.033203125
12.181, -1.048828125
12.201, -1.021484375
12.221, -0.9775390625
12.241, -0.9443359375
12.261, -0.9228515625
12.281, -0.9047851562
12.301, -0.9057617188
12.321, -0.9453125
12.341, -1.006835938
12.361, -1.043945312
12.381, -1.0390625
12.401, -1.018554688
12.421, -1.013671875
12.441, -1.013671875
12.461, -0.9912109375
12.481, -0.9458007812
12.501, -0.9116210938
12.521, -0.9145507812
12.541, -0.9448242188
12.561, -0.9790039062
12.581, -1.0078125
12.601, -1.041015625
12.621, -1.073242188
12.641, -1.081054688
12.661, -1.05078125
12.681, -0.9951171875
12.701, -0.9467773438
12.721, -0.92578125
12.741, -0.9321289062
12.761, -0.9545898438
12.781, -0.9809570312
12.801, -1.006835938
12.821, -1.028320312
12.841, -1.037109375
12.861, -1.024414062
12.881, -0.9897460938
12.901, -0.9516601562
12.921, -0.9301757812
12.941, -0.9296875
12.961, -0.9404296875
12.981, -0.9560546875
13.001, -0.9794921875
13.021, -1.010742188
13.041, -1.038085938
13.061, -1.044921875
13.081, -1.025390625
13.101, -0.9946289062
13.121, -0.9658203125
13.141, -0.9462890625
13.161, -0.939453125
13.181, -0.951171875
13.201, -0.9799804688
13.221, -1.013671875
13.241, -1.0390625
13.261, -1.041992188
13.281, -1.025390625
13.301, -1.002929688
13.321, -0.9858398438
13.341, -0.978515625
13.361, -0.974609375
13.381, -0.96875
13.401, -0.9677734375
13.421, -0.9790039062
13.441, -0.9926757812
13.461, -0.9965820312
13.481, -0.9897460938
13.501, -0.9809570312
13.521, -0.9765625
13.541, -0.9731445312
13.561, -0.9672851562
13.581, -0.9565429688
13.601, -0.9467773438
13.621, -0.9477539062
13.641, -0.9614257812
13.661, -0.982421875
13.681, -1.000976562
13.701, -1.006835938
13.721, -0.9965820312
13.741, -0.9760742188
13.761, -0.95703125
13.781, -0.94921875
13.801, -0.9555664062
13.821, -0.97265625
13.841, -0.9956054688
13.861, -1.021484375
13.881, -1.04296875
13.901, -1.055664062
13.921, -1.05859375
13.941, -1.05078125
13.961, -1.033203125
13.981, -1.008789062
14.001, -0.9907226562
14.021, -0.984375
14.041, -0.9912109375
14.061, -1.008789062
14.081, -1.029296875
14.101, -1.043945312
14.121, -1.0546875
14.141, -1.063476562
14.161, -1.059570312
14.181, -1.033203125
14.201, -1.001953125
14.221, -0.9907226562
14.241, -0.9926757812
14.261, -0.9897460938
14.281, -0.98046875
14.301, -0.9858398438
14.321, -1.017578125
14.341, -1.05078125
14.361, -1.052734375
14.381, -1.024414062
14.401, -0.9965820312
14.421, -0.984375
14.441, -0.9755859375
14.461, -0.9506835938
14.481, -0.919921875
14.501, -0.9072265625
14.521, -0.9184570312
14.541, -0.9418945312
14.561, -0.96484375
14.581, -0.9858398438
14.601, -1.001953125
14.621, -1.00390625
14.641, -0.998046875
14.661, -0.99609375
14.681, -1.000976562
14.701, -1.004882812
14.721, -1
14.741, -0.98828125
14.761, -0.9833984375
14.781, -0.9892578125
14.801, -0.9970703125
14.821, -0.998046875
14.841, -0.9956054688
14.861, -0.9926757812
14.881, -0.9887695312
14.901, -0.9877929688
14.921, -0.9931640625
14.941, -0.9995117188
14.961, -0.9995117188
14.981, -0.9907226562
15.001, -0.9780273438
15.021, -0.9697265625
15.041, -0.9677734375
15.061, -0.96875
15.081, -0.9721679688
15.101, -0.978515625
15.121, -0.9809570312
15.141, -0.974609375
15.161, -0.966796875
15.181, -0.9663085938
15.201, -0.974609375
15.221, -0.9868164062
15.241, -0.99609375
15.261, -1.001953125
15.281, -1.009765625
15.301, -1.018554688
15.321, -1.024414062
15.341, -1.025390625
15.361, -1.020507812
15.381, -1.013671875
15.401, -1.005859375
15.421, -0.9985351562
15.441, -0.9897460938
15.461, -0.978515625
15.481, -0.9697265625
15.501, -0.962890625
15.521, -0.95703125
15.541, -0.9580078125
15.561, -0.9633789062
15.581, -0.9682617188
15.601, -0.9633789062
15.621, -0.9482421875
15.641, -0.9389648438
15.661, -0.9487304688
15.681, -0.966796875
15.701, -0.9741210938
15.721, -0.9721679688
15.741, -0.974609375
15.761, -0.9853515625
15.781, -0.9985351562
15.801, -1.004882812
15.821, -1.001953125
15.841, -0.9907226562
15.861, -0.9790039062
15.881, -0.9731445312
15.901, -0.9716796875
15.921, -0.9750976562
15.941, -0.9838867188
15.961, -0.9936523438
15.981, -0.9975585938
16.001, -0.9951171875
16.021, -0.990234375
16.041, -0.986328125
16.061, -0.9838867188
16.081, -0.9794921875
16.101, -0.9741210938
16.121, -0.9716796875
16.141, -0.97265625
16.161, -0.9780273438
16.181, -0.990234375
16.201, -1.005859375
16.221, -1.018554688
16.241, -1.0234375
16.261, -1.018554688
16.281, -1.006835938
16.301, -0.990234375
16.321, -0.9731445312
16.341, -0.9692382812
16.361, -0.984375
16.381, -1.000976562
16.401, -1.005859375
16.421, -0.9995117188
16.441, -0.9873046875
16.461, -0.9838867188
16.481, -0.9946289062
16.501, -1.001953125
16.521, -0.994140625
16.541, -0.9790039062
16.561, -0.9765625
16.581, -0.9877929688
16.601, -0.9995117188
16.622, -1.002929688
16.642, -1.000976562
16.662, -0.9995117188
16.682, -1.002929688
16.702, -1.006835938
16.722, -1.00390625
16.742, -0.9921875
16.762, -0.9858398438
16.782, -0.99609375
16.802, -1.006835938
16.821, -0.9990234375
16.841, -0.9770507812
16.861, -0.9609375
16.881, -0.9614257812
16.901, -0.970703125
16.921, -0.9790039062
16.941, -0.9829101562
16.961, -0.9873046875
16.981, -0.9970703125
17.001, -1.005859375
17.021, -1.002929688
17.041, -0.9916992188
17.061, -0.9912109375
17.081, -1
17.101, -1.00390625
17.121, -1.000976562
17.141, -0.9921875
17.161, -0.9814453125
17.181, -0.9765625
17.201, -0.9775390625
17.221, -0.9750976562
17.241, -0.9677734375
17.261, -0.96484375
17.281, -0.97265625
17.301, -0.9848632812
17.321, -0.9877929688
17.341, -0.9765625
17.361, -0.96484375
17.381, -0.9697265625
17.401, -0.9931640625
17.421, -1.014648438
17.441, -1.018554688
17.461, -1.012695312
17.481, -1.015625
17.501, -1.033203125
17.521, -1.046875
17.541, -1.03515625
17.561, -1.004882812
17.581, -0.9819335938
17.601, -0.9760742188
17.621, -0.9775390625
17.641, -0.9750976562
17.661, -0.9741210938
17.681, -0.9912109375
17.701, -1.024414062
17.721, -1.048828125
17.741, -1.038085938
17.761, -0.9956054688
17.781, -0.9521484375
17.801, -0.93359375
17.821, -0.93359375
17.841, -0.93359375
17.861, -0.9301757812
17.881, -0.935546875
17.901, -0.953125
17.921, -0.9716796875
17.941, -0.9799804688
17.961, -0.982421875
17.981, -0.9926757812
18.001, -1.01171875
18.021, -1.024414062
18.041, -1.01171875
18.061, -0.9833984375
18.081, -0.9658203125
18.101, -0.9765625
18.121, -1.004882812
18.141, -1.038085938
18.161, -1.071289062
18.181, -1.091796875
18.201, -1.075195312
18.221, -1.012695312
18.241, -0.9423828125
18.261, -0.9174804688
18.281, -0.9516601562
18.301, -0.9912109375
18.321, -0.9809570312
18.341, -0.9399414062
18.361, -0.9306640625
18.381, -0.9721679688
18.401, -1.020507812
18.421, -1.028320312
18.441, -0.9970703125
18.461, -0.9741210938
18.481, -0.9853515625
18.501, -1.0078125
18.521, -1.0078125
18.541, -0.98046875
18.561, -0.9536132812
18.581, -0.943359375
18.601, -0.9311523438
18.621, -0.9038085938
18.641, -0.8842773438
18.661, -0.896484375
18.681, -0.9301757812
18.701, -0.9604492188
18.721, -0.9809570312
18.741, -1.014648438
18.761, -1.068359375
18.781, -1.103515625
18.801, -1.090820312
18.821, -1.052734375
18.841, -1.025390625
18.861, -1.013671875
18.881, -0.9946289062
18.901, -0.9624023438
18.921, -0.9379882812
18.941, -0.9399414062
18.961, -0.9580078125
18.981, -0.9682617188
19.001, -0.9702148438
19.021, -0.9750976562
19.041, -0.9770507812
19.061, -0.9658203125
19.081, -0.955078125
19.101, -0.9599609375
19.121, -0.9711914062
19.141, -0.9721679688
19.161, -0.9653320312
19.181, -0.9643554688
19.201, -0.9663085938
19.221, -0.9555664062
19.241, -0.9375
19.261, -0.931640625
19.281, -0.943359375
19.301, -0.9560546875
19.321, -0.9462890625
19.341, -0.91796875
19.361, -0.8916015625
19.381, -0.8657226562
19.401, -0.8330078125
19.421, -0.8032226562
19.441, -0.8002929688
19.461, -0.8354492188
19.481, -0.8881835938
19.501, -0.9262695312
19.521, -0.9287109375
19.541, -0.9052734375
19.561, -0.8857421875
19.581, -0.8837890625
19.601, -0.8940429688
19.621, -0.904296875
19.641, -0.9077148438
19.661, -0.9189453125
19.681, -0.947265625
19.701, -0.9765625
19.721, -0.986328125
19.741, -0.9770507812
19.761, -0.9633789062
19.781, -0.9619140625
19.801, -0.9770507812
19.821, -0.9916992188
19.841, -0.9970703125
19.861, -1
19.881, -1.018554688
19.901, -1.051757812
19.921, -1.079101562
19.941, -1.077148438
19.961, -1.051757812
19.981, -1.03125
20.001, -1.02734375
20.021, -1.033203125
20.041, -1.034179688
20.061, -1.030273438
20.081, -1.03125
20.101, -1.040039062
20.121, -1.048828125
20.141, -1.047851562
20.161, -1.032226562
20.181, -1.008789062
20.201, -0.984375
20.223, -0.9643554688
20.243, -0.9555664062
20.263, -0.9624023438
20.283, -0.9809570312
20.303, -1.001953125
20.323, -1.01953125
20.343, -1.03125
20.363, -1.040039062
20.383, -1.0390625
20.403, -1.017578125
20.421, -0.9794921875
20.441, -0.9501953125
20.461, -0.943359375
20.481, -0.9560546875
20.501, -0.970703125
20.521, -0.978515625
20.541, -0.9780273438
20.561, -0.9711914062
20.581, -0.9624023438
20.601, -0.9526367188
20.621, -0.9379882812
20.641, -0.923828125
20.661, -0.9208984375
20.681, -0.9321289062
20.701, -0.9536132812
20.721, -0.9750976562
20.741, -0.9907226562
20.761, -0.998046875
20.781, -0.9970703125
20.801, -0.9858398438
20.821, -0.9702148438
20.841, -0.9599609375
20.861, -0.9536132812
20.881, -0.9458007812
20.901, -0.94140625
20.921, -0.9487304688
20.941, -0.9672851562
20.961, -0.98828125
20.981, -1.002929688
21.001, -1.01171875
21.021, -1.017578125
21.041, -1.017578125
21.061, -1.004882812
21.081, -0.9838867188
21.101, -0.9731445312
21.121, -0.9838867188
21.141, -1.0078125
21.161, -1.02734375
21.181, -1.036132812
21.201, -1.034179688
21.221, -1.0234375
21.241, -1.002929688
21.261, -0.9770507812
21.281, -0.9541015625
21.301, -0.9506835938
21.321, -0.966796875
21.341, -0.978515625
21.361, -0.9721679688
21.381, -0.9638671875
21.401, -0.9711914062
21.421, -0.984375
21.441, -0.9819335938
21.461, -0.9653320312
21.481, -0.9575195312
21.501, -0.9692382812
21.521, -0.9892578125
21.541, -1.002929688
21.561, -1.006835938
21.581, -1.004882812
21.601, -1.006835938
21.621, -1.018554688
21.641, -1.029296875
21.661, -1.025390625
21.681, -1.008789062
21.701, -0.9912109375
21.721, -0.9858398438
21.741, -0.9951171875
21.761, -1.006835938
21.781, -1.008789062
21.801, -1.009765625
21.821, -1.016601562
21.841, -1.01953125
21.861, -1.014648438
21.881, -1.009765625
21.901, -1.015625
21.921, -1.030273438
21.941, -1.041015625
21.961, -1.03125
21.981, -1.01171875
22.001, -1.004882812
22.021, -1.017578125
22.041, -1.032226562
22.061, -1.028320312
22.081, -1.0078125
22.101, -0.9853515625
22.121, -0.9731445312
22.141, -0.962890625
22.161, -0.9487304688
22.181, -0.9418945312
22.201, -0.9506835938
22.223, -0.9716796875
22.243, -0.98828125
22.263, -0.99609375
22.283, -1.000976562
22.303, -1.0078125
22.323, -1.009765625
22.343, -1.001953125
22.363, -0.9858398438
22.383, -0.9736328125
22.403, -0.9741210938
22.421, -0.9799804688
22.441, -0.9829101562
22.461, -0.9868164062
22.481, -0.9921875
22.501, -0.994140625
22.521, -0.990234375
22.541, -0.9858398438
22.561, -0.984375
22.581, -0.9853515625
22.601, -0.9829101562
22.621, -0.9741210938
22.641, -0.9609375
22.661, -0.9521484375
22.681, -0.9565429688
22.701, -0.9736328125
22.721, -0.9951171875
22.741, -1.009765625
22.761, -1.013671875
22.781, -1.006835938
22.801, -0.9892578125
22.826, -0.9663085938
22.846, -0.94140625
22.866, -0.919921875
22.886, -0.908203125
22.906, -0.912109375
22.926, -0.9282226562
22.946, -0.9506835938
22.966, -0.9702148438
22.986, -0.9780273438
23.006, -0.974609375
23.021, -0.9658203125
23.041, -0.9536132812
23.061, -0.94140625
23.081, -0.9340820312
23.101, -0.9345703125
23.121, -0.947265625
23.141, -0.970703125
23.161, -0.9887695312
23.181, -0.9965820312
23.201, -1
23.221, -0.9995117188
23.241, -0.986328125
23.261, -0.9633789062
23.281, -0.9448242188
23.301, -0.94140625
23.321, -0.9536132812
23.341, -0.9736328125
23.361, -0.9907226562
23.381, -0.9975585938
23.401, -0.9946289062
23.421, -0.9833984375
23.441, -0.9653320312
23.461, -0.9462890625
23.481, -0.93359375
23.501, -0.931640625
23.521, -0.939453125
23.541, -0.9536132812
23.561, -0.9658203125
23.581, -0.9750976562
23.601, -0.982421875
23.621, -0.986328125
23.641, -0.9799804688
23.661, -0.9677734375
23.681, -0.958984375
23.701, -0.9584960938
23.721, -0.9638671875
23.741, -0.9716796875
23.761, -0.9819335938
23.781, -0.9921875
23.801, -0.9970703125
23.826, -0.9916992188
23.846, -0.9780273438
23.866, -0.9653320312
23.886, -0.9619140625
23.906, -0.9692382812
23.926, -0.9819335938
23.946, -0.9990234375
23.966, -1.022460938
23.986, -1.046875
24.006, -1.055664062
24.021, -1.041015625
24.041, -1.006835938
24.061, -0.9501953125
24.081, -0.8647460938
24.101, -0.7729492188
24.121, -0.72265625
24.141, -0.74609375
24.161, -0.8266601562
24.181, -0.9116210938
24.201, -0.9760742188
24.221, -1.038085938
24.241, -1.114257812
24.261, -1.17578125
24.281, -1.1796875
24.301, -1.126953125
24.321, -1.051757812
24.341, -0.9873046875
24.361, -0.9423828125
24.381, -0.9174804688
24.401, -0.91796875
24.421, -0.9443359375
24.441, -0.9848632812
24.461, -1.0234375
24.481, -1.052734375
24.501, -1.0625
24.521, -1.040039062
24.541, -0.9912109375
24.561, -0.9497070312
24.581, -0.9389648438
24.601, -0.9462890625
24.621, -0.94921875
