time,itow,lat,lon,alt,speed,accuracy
3.109, 563482760, 40.6153450, -3.5836801, 704.2818424, 0.939, 3.950
3.209, 563482860, 40.6153441, -3.5836795, 704.4497087, 0.958, 3.950
3.309, 563482960, 40.6153422, -3.5836785, 704.5763574, 0.984, 3.950
3.409, 563483060, 40.6153403, -3.5836775, 704.7261930, 1.019, 3.950
3.509, 563483160, 40.6153402, -3.5836775, 704.8527609, 1.012, 3.950
3.609, 563483260, 40.6153402, -3.5836774, 704.9713375, 1.006, 3.950
3.709, 563483360, 40.6153401, -3.5836776, 705.1028790, 1.003, 3.950
3.809, 563483460, 40.6153401, -3.5836777, 705.2219454, 0.999, 3.950
3.909, 563483560, 40.6153402, -3.5836778, 705.3578487, 0.990, 3.950
4.009, 563483660, 40.6153395, -3.5836773, 705.3923707, 0.983, 3.940
4.109, 563483760, 40.6153377, -3.5836764, 705.4383506, 1.006, 3.940
4.209, 563483860, 40.6153371, -3.5836761, 705.5575666, 1.015, 3.936
4.309, 563483960, 40.6153377, -3.5836764, 705.7508476, 1.010, 3.910
4.409, 563484060, 40.6153374, -3.5836764, 705.8078744, 1.008, 3.894
4.509, 563484160, 40.6153370, -3.5836762, 705.8055388, 0.994, 3.880
4.609, 563484260, 40.6153368, -3.5836761, 705.7368554, 0.974, 3.869
4.709, 563484360, 40.6153362, -3.5836755, 705.6823169, 0.965, 3.850
4.809, 563484460, 40.6153359, -3.5836754, 705.6544278, 0.954, 3.834
4.909, 563484560, 40.6153357, -3.5836752, 705.6715474, 0.941, 3.820
5.009, 563484660, 40.6153351, -3.5836751, 705.7236634, 0.946, 3.820
5.109, 563484760, 40.6153338, -3.5836741, 705.7758384, 0.974, 3.820
5.209, 563484860, 40.6153328, -3.5836736, 705.8544403, 0.993, 3.810
5.309, 563484960, 40.6153318, -3.5836730, 705.9310296, 1.024, 3.810
5.409, 563485060, 40.6153312, -3.5836727, 705.9410638, 1.005, 3.810
5.509, 563485160, 40.6153307, -3.5836725, 705.8672330, 0.990, 3.800
5.609, 563485260, 40.6153299, -3.5836724, 705.7801487, 0.980, 3.800
5.709, 563485360, 40.6153290, -3.5836720, 705.6035149, 0.942, 3.800
5.809, 563485460, 40.6153277, -3.5836710, 705.4816701, 0.954, 3.800
5.909, 563485560, 40.6153262, -3.5836705, 705.4652697, 0.993, 3.800
6.009, 563485660, 40.6153257, -3.5836703, 705.5199748, 0.962, 3.800
6.109, 563485760, 40.6153253, -3.5836703, 705.5296696, 0.934, 3.800
6.209, 563485860, 40.6153254, -3.5836704, 705.4910220, 0.891, 3.800
6.309, 563485960, 40.6153256, -3.5836706, 705.4429041, 0.845, 3.800
6.409, 563486060, 40.6153255, -3.5836707, 705.4659283, 0.843, 3.799
6.509, 563486160, 40.6153266, -3.5836710, 705.4357967, 0.792, 3.810
6.609, 563486260, 40.6153278, -3.5836703, 705.3258443, 0.841, 3.810
6.709, 563486360, 40.6153281, -3.5836702, 705.3628610, 0.806, 3.810
6.809, 563486460, 40.6153288, -3.5836704, 705.4522851, 0.819, 3.809
6.909, 563486560, 40.6153301, -3.5836712, 705.5483386, 0.835, 3.820
7.009, 563486660, 40.6153297, -3.5836713, 705.5483721, 0.813, 3.820
7.109, 563486760, 40.6153287, -3.5836704, 705.5647978, 0.797, 3.830
7.209, 563486860, 40.6153275, -3.5836699, 705.6187801, 0.779, 3.830
7.309, 563486960, 40.6153260, -3.5836689, 705.6599776, 0.790, 3.830
7.409, 563487060, 40.6153242, -3.5836678, 705.7254424, 0.825, 3.841
7.509, 563487160, 40.6153227, -3.5836668, 705.7591831, 0.858, 3.840
7.609, 563487260, 40.6153215, -3.5836659, 705.7599555, 0.877, 3.846
7.709, 563487360, 40.6153202, -3.5836650, 705.7381196, 0.903, 3.850
7.809, 563487460, 40.6153190, -3.5836641, 705.6851375, 0.924, 3.854
7.909, 563487560, 40.6153184, -3.5836641, 705.5943078, 0.905, 3.860
8.009, 563487660, 40.6153185, -3.5836641, 705.4743683, 0.853, 3.866
8.109, 563487760, 40.6153184, -3.5836638, 705.3512913, 0.809, 3.870
8.209, 563487860, 40.6153186, -3.5836642, 705.2549845, 0.763, 3.874
8.309, 563487960, 40.6153192, -3.5836649, 705.1001118, 0.712, 3.880
8.409, 563488060, 40.6153205, -3.5836658, 704.9207030, 0.670, 3.890
8.509, 563488160, 40.6153219, -3.5836668, 704.7144540, 0.656, 3.890
8.609, 563488260, 40.6153234, -3.5836680, 704.5121276, 0.692, 3.900
8.709, 563488360, 40.6153249, -3.5836690, 704.3421729, 0.760, 3.900
8.809, 563488460, 40.6153255, -3.5836690, 704.1792758, 0.800, 3.900
8.909, 563488560, 40.6153246, -3.5836683, 703.9732100, 0.754, 3.900
9.009, 563488660, 40.6153237, -3.5836677, 703.7041721, 0.733, 3.904
9.109, 563488760, 40.6153226, -3.5836667, 703.4024334, 0.685, 3.910
9.209, 563488860, 40.6153212, -3.5836660, 703.1281902, 0.640, 3.910
9.309, 563488960, 40.6153199, -3.5836650, 702.8863480, 0.594, 3.910
9.409, 563489060, 40.6153185, -3.5836639, 702.6751356, 0.540, 3.910
9.509, 563489160, 40.6153173, -3.5836634, 702.4416411, 0.530, 3.910
9.609, 563489260, 40.6153164, -3.5836624, 702.3547131, 0.485, 3.916
9.709, 563489360, 40.6153157, -3.5836607, 702.2463217, 0.482, 3.920
9.809, 563489460, 40.6153156, -3.5836606, 702.0958287, 0.505, 3.920
9.909, 563489560, 40.6153156, -3.5836602, 701.9541807, 0.524, 3.920
10.009, 563489660, 40.6153148, -3.5836589, 701.8208631, 0.492, 3.920
10.109, 563489760, 40.6153141, -3.5836575, 701.7090275, 0.520, 3.920
10.209, 563489860, 40.6153148, -3.5836574, 701.6443751, 0.563, 3.930
10.309, 563489960, 40.6153157, -3.5836578, 701.5114562, 0.607, 3.930
10.409, 563490060, 40.6153156, -3.5836575, 701.3789838, 0.603, 3.930
10.509, 563490160, 40.6153154, -3.5836573, 701.2706899, 0.594, 3.930
10.609, 563490260, 40.6153151, -3.5836570, 701.1910124, 0.577, 3.930
10.709, 563490360, 40.6153144, -3.5836564, 701.1345659, 0.552, 3.930
10.809, 563490460, 40.6153128, -3.5836553, 701.0870002, 0.473, 3.930
10.909, 563490560, 40.6153121, -3.5836548, 700.9850711, 0.441, 3.930
11.009, 563490660, 40.6153113, -3.5836545, 700.9009732, 0.403, 3.930
11.109, 563490760, 40.6153101, -3.5836537, 700.8418512, 0.389, 3.930
11.209, 563490860, 40.6153075, -3.5836520, 700.8156249, 0.321, 3.930
11.309, 563490960, 40.6153056, -3.5836507, 700.7767611, 0.330, 3.930
11.409, 563491060, 40.6153037, -3.5836496, 700.7355901, 0.368, 3.934
11.509, 563491160, 40.6153022, -3.5836483, 700.6621885, 0.406, 3.940
11.609, 563491260, 40.6153006, -3.5836471, 700.5714915, 0.438, 3.946
11.709, 563491360, 40.6152990, -3.5836464, 700.5408714, 0.477, 3.950
11.809, 563491460, 40.6152973, -3.5836455, 700.5382599, 0.539, 3.954
11.909, 563491560, 40.6152963, -3.5836443, 700.4641737, 0.552, 3.960
12.009, 563491660, 40.6152958, -3.5836438, 700.3577128, 0.532, 3.970
12.109, 563491761, 40.6152955, -3.5836431, 700.2880532, 0.517, 3.970
12.209, 563491861, 40.6152954, -3.5836425, 700.1971056, 0.498, 3.981
12.309, 563491961, 40.6152944, -3.5836412, 700.1058751, 0.552, 3.980
12.409, 563492061, 40.6152939, -3.5836406, 700.0040617, 0.521, 3.990
12.509, 563492161, 40.6152921, -3.5836398, 699.9066129, 0.522, 4.000
12.609, 563492261, 40.6152919, -3.5836401, 699.7479383, 0.430, 4.000
12.709, 563492361, 40.6152918, -3.5836401, 699.5477847, 0.368, 4.010
12.809, 563492461, 40.6152921, -3.5836399, 699.3522344, 0.312, 4.010
12.909, 563492561, 40.6152914, -3.5836394, 699.2736128, 0.303, 4.020
13.009, 563492661, 40.6152911, -3.5836395, 699.2225935, 0.278, 4.020
13.109, 563492761, 40.6152906, -3.5836393, 699.1871488, 0.276, 4.020
13.209, 563492861, 40.6152894, -3.5836382, 699.1488399, 0.306, 4.030
13.309, 563492961, 40.6152883, -3.5836379, 699.0525125, 0.301, 4.030
13.409, 563493061, 40.6152869, -3.5836379, 698.9370332, 0.298, 4.040
13.509, 563493161, 40.6152855, -3.5836372, 698.8181348, 0.303, 4.050
13.609, 563493261, 40.6152853, -3.5836375, 698.6923174, 0.265, 4.050
13.709, 563493361, 40.6152851, -3.5836376, 698.5821469, 0.246, 4.060
13.809, 563493461, 40.6152843, -3.5836374, 698.4891553, 0.257, 4.060
13.909, 563493561, 40.6152844, -3.5836379, 698.3612422, 0.237, 4.070
14.009, 563493661, 40.6152844, -3.5836384, 698.1896809, 0.264, 4.069
14.109, 563493761, 40.6152833, -3.5836382, 698.0461382, 0.267, 4.080
14.209, 563493861, 40.6152827, -3.5836383, 697.9073977, 0.291, 4.084
14.309, 563493961, 40.6152831, -3.5836391, 697.8021180, 0.317, 4.090
14.409, 563494061, 40.6152837, -3.5836398, 697.6952545, 0.369, 4.096
14.509, 563494161, 40.6152852, -3.5836406, 697.6127232, 0.425, 4.100
14.609, 563494261, 40.6152872, -3.5836415, 697.4515869, 0.536, 4.111
14.709, 563494361, 40.6152891, -3.5836422, 697.3081470, 0.639, 4.110
14.809, 563494461, 40.6152913, -3.5836433, 697.1736313, 0.791, 4.120
14.909, 563494561, 40.6152928, -3.5836447, 697.0440536, 0.917, 4.130
15.009, 563494661, 40.6152937, -3.5836449, 696.9409280, 0.945, 4.130
15.109, 563494761, 40.6152938, -3.5836450, 696.7877786, 0.950, 4.140
15.209, 563494861, 40.6152947, -3.5836458, 696.5957374, 1.029, 4.150
15.309, 563494961, 40.6152964, -3.5836474, 696.3759438, 1.167, 4.150
15.409, 563495061, 40.6152987, -3.5836493, 696.1592249, 1.339, 4.160
15.509, 563495161, 40.6152994, -3.5836503, 695.9930310, 1.391, 4.170
15.609, 563495261, 40.6152991, -3.5836503, 695.8436501, 1.347, 4.176
15.709, 563495361, 40.6152977, -3.5836497, 695.7285357, 1.223, 4.180
15.809, 563495461, 40.6152962, -3.5836489, 695.6390911, 1.079, 4.191
15.909, 563495561, 40.6152947, -3.5836478, 695.5204226, 0.959, 4.190
16.009, 563495661, 40.6152939, -3.5836476, 695.4483551, 0.884, 4.200
16.109, 563495761, 40.6152933, -3.5836479, 695.3478907, 0.851, 4.210
16.209, 563495861, 40.6152932, -3.5836485, 695.2214213, 0.882, 4.214
16.309, 563495961, 40.6152930, -3.5836490, 695.0848405, 0.890, 4.220
16.409, 563496061, 40.6152939, -3.5836501, 694.9662459, 0.962, 4.230
16.509, 563496161, 40.6152957, -3.5836516, 694.8873156, 1.066, 4.230
16.609, 563496261, 40.6152974, -3.5836527, 694.8138440, 1.155, 4.240
16.709, 563496361, 40.6152989, -3.5836539, 694.7472851, 1.218, 4.250
16.809, 563496461, 40.6153000, -3.5836549, 694.6857427, 1.267, 4.256
16.909, 563496561, 40.6152999, -3.5836554, 694.6453358, 1.222, 4.260
17.009, 563496661, 40.6152991, -3.5836556, 694.6281320, 1.146, 4.271
17.109, 563496761, 40.6152990, -3.5836556, 694.6397276, 1.089, 4.270
17.209, 563496861, 40.6152984, -3.5836551, 694.5625384, 1.010, 4.280
17.309, 563496961, 40.6152975, -3.5836545, 694.4062391, 0.924, 4.280
17.409, 563497061, 40.6152966, -3.5836537, 694.2068574, 0.857, 4.290
17.509, 563497161, 40.6152951, -3.5836526, 694.0650349, 0.730, 4.290
17.609, 563497261, 40.6152934, -3.5836521, 693.9671859, 0.630, 4.299
17.709, 563497361, 40.6152932, -3.5836523, 693.8893476, 0.620, 4.310
17.809, 563497461, 40.6152936, -3.5836521, 693.7860898, 0.643, 4.310
17.909, 563497561, 40.6152941, -3.5836523, 693.7338167, 0.665, 4.320
18.009, 563497661, 40.6152948, -3.5836531, 693.6549249, 0.712, 4.320
18.109, 563497761, 40.6152955, -3.5836539, 693.4843152, 0.783, 4.320
18.209, 563497861, 40.6152955, -3.5836535, 693.3611095, 0.774, 4.330
18.309, 563497961, 40.6152940, -3.5836517, 693.2482313, 0.639, 4.330
18.409, 563498061, 40.6152915, -3.5836494, 693.1420106, 0.475, 4.340
18.509, 563498161, 40.6152901, -3.5836480, 693.0905682, 0.370, 4.340
18.609, 563498261, 40.6152886, -3.5836467, 693.0122964, 0.319, 4.340
18.709, 563498361, 40.6152861, -3.5836446, 692.9125269, 0.246, 4.340
18.809, 563498461, 40.6152832, -3.5836425, 692.7544563, 0.291, 4.350
18.909, 563498561, 40.6152810, -3.5836406, 692.5431264, 0.370, 4.350
19.009, 563498661, 40.6152789, -3.5836391, 692.3008978, 0.411, 4.350
19.109, 563498761, 40.6152763, -3.5836382, 692.0349623, 0.397, 4.350
19.209, 563498861, 40.6152741, -3.5836369, 691.8087074, 0.435, 4.350
19.309, 563498961, 40.6152724, -3.5836360, 691.5418277, 0.465, 4.350
19.409, 563499061, 40.6152709, -3.5836353, 691.2680501, 0.463, 4.361
19.509, 563499161, 40.6152698, -3.5836348, 691.0266920, 0.448, 4.360
19.609, 563499261, 40.6152683, -3.5836340, 690.7889662, 0.467, 4.360
19.709, 563499361, 40.6152659, -3.5836328, 690.5570704, 0.527, 4.360
19.809, 563499461, 40.6152648, -3.5836321, 690.3514203, 0.518, 4.360
19.909, 563499561, 40.6152637, -3.5836318, 690.1543266, 0.496, 4.360
20.009, 563499661, 40.6152630, -3.5836315, 689.9747741, 0.458, 4.360
20.109, 563499761, 40.6152625, -3.5836316, 689.7941495, 0.417, 4.360
20.209, 563499861, 40.6152623, -3.5836317, 689.6611443, 0.351, 4.360
20.309, 563499961, 40.6152622, -3.5836318, 689.5565201, 0.323, 4.370
20.409, 563500061, 40.6152618, -3.5836321, 689.4468896, 0.314, 4.370
20.509, 563500161, 40.6152609, -3.5836313, 689.3177486, 0.332, 4.370
20.609, 563500261, 40.6152598, -3.5836307, 689.1795694, 0.340, 4.381
20.709, 563500361, 40.6152588, -3.5836298, 689.0538083, 0.381, 4.380
20.809, 563500461, 40.6152582, -3.5836296, 688.9736010, 0.136, 4.379
20.909, 563500561, 40.6152582, -3.5836296, 688.9722468, 0.005, 4.406
21.009, 563500661, 40.6152568, -3.5836319, 688.7102366, 0.442, 5.594
21.109, 563500761, 40.6152555, -3.5836337, 688.4777730, 0.488, 5.519
21.209, 563500861, 40.6152542, -3.5836354, 688.2566226, 0.514, 5.463
21.309, 563500961, 40.6152530, -3.5836368, 688.0563624, 0.503, 5.409
21.409, 563501061, 40.6152521, -3.5836384, 687.8709682, 0.475, 5.359
21.509, 563501161, 40.6152513, -3.5836400, 687.7005400, 0.399, 5.309
21.609, 563501261, 40.6152506, -3.5836415, 687.5312292, 0.339, 5.269
21.709, 563501361, 40.6152499, -3.5836428, 687.3754947, 0.311, 5.230
21.809, 563501461, 40.6152493, -3.5836442, 687.2442126, 0.278, 5.195
21.909, 563501561, 40.6152503, -3.5836467, 687.3108312, 0.335, 5.159
22.009, 563501661, 40.6152520, -3.5836495, 687.4259520, 0.388, 5.126
22.109, 563501761, 40.6152538, -3.5836523, 687.5221112, 0.415, 5.090
22.209, 563501861, 40.6152559, -3.5836553, 687.5979822, 0.387, 5.054
22.309, 563501961, 40.6152576, -3.5836580, 687.6235280, 0.382, 5.029
22.409, 563502061, 40.6152597, -3.5836611, 687.6662706, 0.340, 4.995
22.509, 563502161, 40.6152615, -3.5836642, 687.7058544, 0.314, 4.970
22.609, 563502261, 40.6152635, -3.5836673, 687.7572294, 0.290, 4.945
22.709, 563502361, 40.6152659, -3.5836702, 687.7962781, 0.246, 4.920
22.809, 563502461, 40.6152682, -3.5836729, 687.8149571, 0.215, 4.895
22.909, 563502561, 40.6152706, -3.5836753, 687.8316480, 0.200, 4.880
23.009, 563502661, 40.6152727, -3.5836774, 687.8420206, 0.201, 4.855
23.109, 563502761, 40.6152749, -3.5836796, 687.8750004, 0.211, 4.840
23.209, 563502861, 40.6152775, -3.5836820, 687.9013511, 0.238, 4.821
23.309, 563502961, 40.6152803, -3.5836845, 687.9102944, 0.257, 4.800
23.409, 563503061, 40.6152821, -3.5836863, 687.9464174, 0.264, 4.785
23.509, 563503161, 40.6152842, -3.5836888, 688.0211219, 0.220, 4.770
23.609, 563503261, 40.6152854, -3.5836905, 688.0752862, 0.203, 4.754
23.709, 563503361, 40.6152873, -3.5836926, 688.1149333, 0.182, 4.740
23.809, 563503461, 40.6152889, -3.5836941, 688.1223355, 0.243, 4.729
23.909, 563503561, 40.6152913, -3.5836964, 688.1294825, 0.220, 4.720
24.009, 563503661, 40.6152938, -3.5836993, 688.1107606, 0.178, 4.710
24.109, 563503761, 40.6152957, -3.5837011, 688.0666992, 0.185, 4.700
24.209, 563503861, 40.6152973, -3.5837032, 688.0578650, 0.183, 4.696
24.309, 563503961, 40.6152986, -3.5837051, 688.0283556, 0.185, 4.690
24.409, 563504061, 40.6153002, -3.5837070, 688.0316477, 0.188, 4.680
24.509, 563504161, 40.6153023, -3.5837091, 688.0539320, 0.178, 4.680
24.609, 563504261, 40.6153044, -3.5837108, 688.0426204, 0.181, 4.669
24.709, 563504361, 40.6153058, -3.5837123, 688.0138774, 0.195, 4.670
24.809, 563504461, 40.6153068, -3.5837137, 687.9255669, 0.187, 4.661
24.909, 563504561, 40.6153084, -3.5837151, 687.8455644, 0.195, 4.650
25.009, 563504661, 40.6153098, -3.5837162, 687.7740008, 0.204, 4.639
25.109, 563504761, 40.6153111, -3.5837174, 687.7186702, 0.195, 4.640
25.209, 563504861, 40.6153112, -3.5837180, 687.6991142, 0.137, 5.251
25.309, 563504961, 40.6153122, -3.5837200, 687.5682872, 0.203, 5.519
25.409, 563505061, 40.6153131, -3.5837219, 687.4409235, 0.208, 5.444
25.509, 563505161, 40.6153139, -3.5837237, 687.3049488, 0.213, 5.380
25.609, 563505261, 40.6153147, -3.5837253, 687.1732773, 0.248, 5.319
25.709, 563505361, 40.6153149, -3.5837269, 687.0525280, 0.361, 5.259
25.809, 563505461, 40.6153153, -3.5837283, 686.9016335, 0.371, 5.209
25.909, 563505561, 40.6153158, -3.5837298, 686.7502859, 0.374, 5.169
26.009, 563505661, 40.6153167, -3.5837311, 686.6242349, 0.348, 5.126
26.109, 563505761, 40.6153182, -3.5837323, 686.5336933, 0.255, 5.080
26.209, 563505861, 40.6153197, -3.5837332, 686.4314464, 0.219, 5.044
26.309, 563505961, 40.6153204, -3.5837341, 686.3438647, 0.214, 5.010
26.409, 563506061, 40.6153208, -3.5837348, 686.2516514, 0.236, 4.975
26.509, 563506161, 40.6153217, -3.5837358, 686.1684416, 0.229, 4.940
26.609, 563506261, 40.6153230, -3.5837368, 686.0624023, 0.198, 4.915
26.709, 563506361, 40.6153243, -3.5837377, 685.9543954, 0.195, 4.890
26.809, 563506461, 40.6153257, -3.5837386, 685.8588337, 0.197, 4.855
26.909, 563506561, 40.6153272, -3.5837395, 685.7520108, 0.218, 4.830
27.009, 563506661, 40.6153283, -3.5837403, 685.6776551, 0.212, 4.805
27.109, 563506761, 40.6153294, -3.5837411, 685.6332188, 0.214, 4.780
27.209, 563506861, 40.6153308, -3.5837424, 685.6193890, 0.211, 4.765
27.309, 563506961, 40.6153320, -3.5837440, 685.6149708, 0.197, 4.740
27.409, 563507061, 40.6153321, -3.5837449, 685.5732265, 0.183, 4.726
27.509, 563507161, 40.6153324, -3.5837457, 685.5110941, 0.234, 4.710
27.609, 563507261, 40.6153322, -3.5837464, 685.4775287, 0.275, 4.691
27.709, 563507361, 40.6153322, -3.5837475, 685.4487025, 0.312, 4.670
27.809, 563507461, 40.6153318, -3.5837480, 685.4173511, 0.385, 4.655
27.909, 563507561, 40.6153324, -3.5837488, 685.4519182, 0.397, 4.640
28.009, 563507661, 40.6153329, -3.5837495, 685.4504314, 0.405, 4.630
28.109, 563507761, 40.6153340, -3.5837506, 685.4734459, 0.389, 4.620
28.209, 563507861, 40.6153351, -3.5837515, 685.4907796, 0.353, 4.609
28.309, 563507961, 40.6153371, -3.5837524, 685.4743227, 0.262, 4.590
28.409, 563508061, 40.6153381, -3.5837534, 685.4467961, 0.225, 4.581
28.509, 563508161, 40.6153399, -3.5837544, 685.4800736, 0.193, 4.560
28.609, 563508261, 40.6153411, -3.5837555, 685.5425144, 0.241, 4.549
28.709, 563508361, 40.6153420, -3.5837563, 685.5752401, 0.277, 4.540
28.809, 563508461, 40.6153425, -3.5837569, 685.5981225, 0.279, 4.524
28.909, 563508561, 40.6153428, -3.5837577, 685.6592885, 0.345, 4.510
29.009, 563508661, 40.6153441, -3.5837590, 685.7276330, 0.418, 4.499
29.109, 563508761, 40.6153445, -3.5837598, 685.7509583, 0.417, 4.490
29.209, 563508861, 40.6153447, -3.5837606, 685.7600748, 0.453, 4.484
29.309, 563508961, 40.6153450, -3.5837612, 685.7594619, 0.484, 4.480
29.409, 563509061, 40.6153462, -3.5837620, 685.8092574, 0.429, 4.470
29.509, 563509161, 40.6153483, -3.5837628, 685.8515751, 0.318, 4.470
29.609, 563509261, 40.6153497, -3.5837639, 685.8530487, 0.364, 4.460
29.709, 563509361, 40.6153496, -3.5837646, 685.8025216, 0.345, 4.460
29.809, 563509461, 40.6153488, -3.5837651, 685.7533329, 0.343, 4.446
29.909, 563509561, 40.6153494, -3.5837661, 685.7257169, 0.414, 4.430
30.009, 563509661, 40.6153487, -3.5837667, 685.7138624, 0.409, 4.420
30.109, 563509761, 40.6153477, -3.5837667, 685.6775037, 0.339, 4.420
30.209, 563509861, 40.6153477, -3.5837667, 685.6595407, 0.274, 4.409
30.309, 563509961, 40.6153483, -3.5837666, 685.6589722, 0.212, 4.410
30.409, 563510061, 40.6153494, -3.5837669, 685.6652197, 0.196, 4.410
30.509, 563510161, 40.6153510, -3.5837677, 685.6393871, 0.213, 4.400
30.609, 563510261, 40.6153521, -3.5837679, 685.5952657, 0.177, 4.400
30.709, 563510361, 40.6153528, -3.5837681, 685.5258200, 0.159, 4.400
30.809, 563510461, 40.6153541, -3.5837682, 685.4788392, 0.126, 4.400
30.909, 563510561, 40.6153556, -3.5837684, 685.4463053, 0.105, 4.400
31.009, 563510661, 40.6153568, -3.5837688, 685.3926802, 0.093, 4.390
31.109, 563510761, 40.6153575, -3.5837693, 685.3331842, 0.079, 4.390
31.209, 563510861, 40.6153584, -3.5837696, 685.2836291, 0.076, 4.390
31.309, 563510961, 40.6153611, -3.5837710, 685.3031104, 0.201, 4.380
31.409, 563511061, 40.6153642, -3.5837726, 685.3707213, 0.353, 4.380
31.509, 563511161, 40.6153666, -3.5837739, 685.4427274, 0.426, 4.380
31.609, 563511261, 40.6153676, -3.5837741, 685.4186962, 0.403, 4.380
31.709, 563511361, 40.6153689, -3.5837747, 685.4186239, 0.412, 4.380
31.809, 563511461, 40.6153699, -3.5837750, 685.4053736, 0.380, 4.387
31.909, 563511561, 40.6153707, -3.5837754, 685.4052875, 0.366, 4.380
32.009, 563511661, 40.6153711, -3.5837752, 685.4070212, 0.254, 4.380
32.109, 563511762, 40.6153706, -3.5837747, 685.4047180, 0.123, 4.380
32.209, 563511862, 40.6153706, -3.5837741, 685.4346542, 0.066, 4.380
32.309, 563511962, 40.6153711, -3.5837735, 685.4403082, 0.072, 4.380
32.409, 563512062, 40.6153723, -3.5837733, 685.4748745, 0.047, 4.380
32.509, 563512162, 40.6153731, -3.5837728, 685.4612348, 0.170, 4.380
32.609, 563512262, 40.6153746, -3.5837731, 685.5165381, 0.116, 4.380
32.709, 563512362, 40.6153759, -3.5837734, 685.5384980, 0.158, 4.381
32.809, 563512462, 40.6153776, -3.5837736, 685.5237923, 0.236, 4.390
32.909, 563512562, 40.6153787, -3.5837737, 685.5372633, 0.265, 4.400
33.009, 563512662, 40.6153803, -3.5837744, 685.5615072, 0.330, 4.400
33.109, 563512762, 40.6153818, -3.5837746, 685.5562089, 0.369, 4.410
33.209, 563512862, 40.6153842, -3.5837751, 685.5559258, 0.480, 4.410
33.309, 563512962, 40.6153871, -3.5837763, 685.5597226, 0.636, 4.410
33.409, 563513062, 40.6153895, -3.5837771, 685.5572776, 0.720, 4.421
33.509, 563513162, 40.6153921, -3.5837779, 685.5498905, 0.842, 4.420
33.609, 563513262, 40.6153935, -3.5837781, 685.5422019, 0.861, 4.427
33.709, 563513362, 40.6153951, -3.5837780, 685.5686847, 0.866, 4.430
33.809, 563513462, 40.6153952, -3.5837777, 685.6043544, 0.802, 4.434
33.909, 563513562, 40.6153954, -3.5837773, 685.6612642, 0.730, 4.440
34.009, 563513662, 40.6153958, -3.5837769, 685.6418058, 0.686, 4.439
34.109, 563513762, 40.6153965, -3.5837769, 685.6004614, 0.671, 4.450
34.209, 563513862, 40.6153966, -3.5837769, 685.5860199, 0.631, 4.450
34.309, 563513962, 40.6153967, -3.5837773, 685.5868781, 0.596, 4.460
34.409, 563514062, 40.6153965, -3.5837776, 685.6163347, 0.556, 4.460
34.509, 563514162, 40.6153974, -3.5837775, 685.6454937, 0.554, 4.460
34.609, 563514262, 40.6153983, -3.5837772, 685.6727465, 0.542, 4.470
34.709, 563514362, 40.6154004, -3.5837775, 685.7060088, 0.624, 4.470
34.809, 563514462, 40.6154017, -3.5837782, 685.7803403, 0.656, 4.469
34.909, 563514562, 40.6154026, -3.5837791, 685.8550126, 0.726, 4.480
35.009, 563514662, 40.6154023, -3.5837794, 685.8086390, 0.669, 4.480
