time,battPow
68.286, 33142198
68.386, 46093996
68.486, 52644196
68.586, 59581196
68.686, 78083992
68.786, 100955792
68.886, 122248496
69.036, 136603184
69.136, 146607984
69.236, 152667584
69.336, 158716784
69.436, 158108384
69.586, 161651792
69.686, 164833488
69.786, 168743984
69.886, 173546096
69.986, 175999792
70.086, 178449088
70.236, 181992080
70.336, 182781984
70.436, 188479984
70.536, 202755984
70.636, 224571584
70.786, 240740976
70.886, 249597584
70.986, 253097984
71.086, 255187776
71.186, 256591984
71.286, 249794384
71.386, 231776992
71.536, 209737488
71.636, 184117888
71.736, 163549392
71.836, 142562688
71.986, 118482192
72.086, 99803096
72.186, 85363592
72.286, 72842392
72.386, 64507196
72.486, 57548396
72.636, 51061996
72.736, 47471196
72.836, 42298796
72.936, 40844396
73.036, 38694696
73.286, 39907696
73.486, 40601996
73.586, 40392896
73.686, 38330796
73.786, 39543796
73.886, 41450396
73.986, 44480396
74.086, 45571196
74.236, 44359196
74.336, 44965196
74.436, 45571196
74.636, 44031896
74.786, 44843996
75.036, 44759696
75.136, 45449996
75.286, 45608796
75.386, 44759696
75.486, 45813596
75.586, 45608796
75.736, 44843996
75.836, 45086396
75.936, 45244896
76.036, 45487496
76.136, 45366196
76.286, 44638396
76.386, 44395796
76.486, 43789296
76.586, 43995596
76.686, 44843996
76.786, 44031896
76.986, 44153196
77.086, 42732796
77.186, 41033196
77.286, 41120696
77.386, 43182796
77.736, 42091096
77.836, 42611396
77.936, 42818896
78.186, 42004396
78.286, 42818896
78.386, 42004396
78.486, 41484596
78.586, 41848496
78.686, 42940196
78.786, 43546696
78.886, 44031896
79.036, 44517096
79.236, 45244896
79.336, 45366196
79.586, 45813596
79.686, 45487496
79.786, 44638396
79.886, 43461196
79.986, 42247196
80.086, 41033196
80.336, 37998196
80.436, 36814496
80.536, 36085496
80.686, 35842496
80.786, 37755396
80.886, 39576396
80.986, 40061996
81.086, 42576296
81.186, 44880996
81.286, 44517096
81.436, 44031896
81.536, 46298396
81.636, 47064396
81.736, 46336596
81.836, 46579196
81.936, 45851396
82.086, 43339796
82.186, 42611396
82.286, 36723196
82.386, 21349998
82.486, 11843699
82.586, 8180699.5
82.686, 7081799.5
82.836, 6837599.5
82.936, 6715499.5
83.036, 6593399.5
83.236, 6715499.5
83.386, 6593399.5
83.586, 6598799.5
83.686, 6715499.5
83.786, 6593399.5
83.886, 6598799.5
83.986, 6593399.5
84.136, 6720999.5
84.236, 6598799.5
84.336, 6593399.5
84.436, 6598799.5
84.586, 6720999.5
84.686, 7814399.5
84.786, 30663598
84.886, 68330392
84.986, 100822792
85.086, 125174088
85.186, 150613488
85.336, 168174384
85.436, 180303984
85.536, 183489984
85.636, 180929184
85.786, 166654784
85.886, 149344992
85.986, 138391184
86.086, 132788792
86.186, 129201888
86.286, 121393992
86.386, 111653592
86.536, 101004096
86.636, 90826496
86.736, 84520792
86.836, 77963496
86.986, 71937192
87.086, 65956796
87.236, 64023996
87.336, 66505696
87.436, 70068592
87.536, 72781992
87.636, 74589496
87.786, 76396992
87.886, 77240496
87.986, 74530792
88.086, 71756992
88.186, 71153992
88.286, 67647992
88.436, 62263496
88.536, 60691796
88.636, 57595996
88.786, 54449996
88.886, 53360996
88.986, 53889496
89.086, 54812996
89.186, 54086996
89.286, 51951896
89.386, 50297996
89.486, 50861996
89.636, 51830796
89.736, 50256496
89.836, 49772096
89.986, 50256496
90.086, 50619796
90.186, 50014296
90.286, 49166596
90.386, 48116396
90.486, 47995196
90.586, 46055996
90.686, 43910596
90.836, 42333696
90.936, 39697796
91.086, 38815996
91.186, 37269796
91.286, 36298596
91.436, 35205996
91.536, 36784196
91.636, 38483796
91.736, 37481696
91.886, 37512596
91.986, 38330796
92.086, 39665096
92.186, 40514196
92.286, 40668996
92.486, 41484596
92.636, 42576296
92.736, 43304096
92.836, 42454996
92.936, 42697596
93.036, 44359196
93.186, 44395796
93.286, 42818896
93.386, 42333696
93.486, 83402392
93.586, 219144592
93.686, 265305584
93.786, 247877984
93.936, 207916784
94.036, 216875984
94.136, 244840784
94.236, 274601568
94.386, 292776480
94.486, 303009280
94.586, 305256576
94.686, 308526368
94.786, 312815968
94.886, 314201792
94.986, 317336672
95.086, 318875168
95.236, 321375584
95.336, 323983776
95.436, 327210368
95.536, 325789568
95.686, 326406592
95.786, 329959968
95.886, 331744768
95.986, 334155488
96.086, 336561376
96.186, 338588192
96.286, 337949984
96.436, 340312480
96.536, 337085664
96.636, 276582368
96.736, 151079984
96.836, 72057896
96.986, 59929896
97.086, 88416992
97.186, 116742392
97.286, 146418784
97.386, 168677392
97.486, 173899984
97.586, 168361184
97.736, 154026592
97.836, 140185184
97.936, 130323592
98.086, 122212992
98.186, 123462592
98.286, 144427488
98.436, 168885184
98.536, 199276784
98.636, 226807184
98.736, 249421680
98.836, 262546480
98.936, 280914176
99.036, 299526464
99.186, 311752768
99.286, 320410176
99.386, 325590272
99.486, 330818784
99.586, 333194080
99.686, 338541984
99.786, 341375968
99.936, 343756768
100.036, 343644864
100.136, 344455776
100.236, 344902976
100.386, 343924288
100.486, 340751392
100.686, 254658288
100.786, 130571088
100.886, 26960698
101.086, 13430999
101.236, 8719199
101.336, 7150799.5
101.436, 6423599.5
101.536, 6550199.5
101.886, 6671499.5
101.986, 6676999.5
102.286, 6555599.5
102.386, 6676999.5
102.486, 6560999.5
102.636, 6682499.5
103.486, 6687999.5
103.886, 6566399.5
104.036, 6687999.5
104.236, 6693499.5
104.336, 6571799.5
104.486, 6693499.5
104.586, 6571799.5
104.786, 6693499.5
105.036, 6571799.5
105.486, 6693499.5
105.636, 6698999.5
105.736, 6577199.5
105.936, 9241599
106.036, 27368598
106.136, 42159196
106.286, 52504496
106.386, 60249996
106.486, 71639192
106.586, 66384996
106.686, 48682196
106.786, 32656598
106.886, 18011598
106.986, 10709599
107.086, 7916999.5
107.236, 7064399.5
107.336, 6820799.5
107.436, 6698999.5
107.586, 15296399
107.686, 43174796
107.786, 66590796
107.886, 84049896
107.986, 98109496
108.086, 111213592
108.186, 122688992
108.336, 133774888
108.436, 143737584
108.536, 151187392
108.686, 158608288
108.786, 167511584
108.886, 185720592
108.986, 207897792
109.136, 226046688
109.236, 243684784
109.336, 254561984
109.436, 258842176
109.536, 265305488
109.636, 274706496
109.786, 283272992
109.886, 289636192
109.986, 295259968
110.086, 288189984
110.186, 200959088
110.286, 102304496
110.436, 20620998
110.586, 11523499
110.686, 8133799.5
110.786, 7162599.5
110.886, 6803999.5
110.986, 6682499.5
111.236, 6560999.5
111.336, 6682499.5
111.436, 6566399.5
111.686, 6687999.5
111.986, 6571799.5
112.286, 6566399.5
112.386, 6693499.5
112.686, 6571799.5
112.936, 6698999.5
113.286, 6571799.5
113.386, 7301999.5
113.486, 26597998
113.586, 57695996
113.686, 81224392
113.786, 102359392
113.886, 132141088
113.986, 162287984
114.136, 185058784
114.236, 201947184
114.336, 215757984
114.436, 224458992
114.536, 235161088
114.636, 250994976
114.786, 267602080
114.886, 279294496
114.986, 285906496
115.086, 290003968
115.186, 291464992
115.286, 294635968
115.436, 295747168
115.536, 299819968
115.636, 301342368
115.736, 304642592
115.886, 306038368
115.986, 309014976
116.086, 310441984
116.186, 315200576
116.286, 317639168
116.386, 318094976
116.486, 321426272
116.586, 322156768
116.736, 323899776
116.836, 325526592
116.936, 328274976
117.036, 330231168
117.186, 330611168
117.286, 333233984
117.486, 334730592
117.586, 336075776
117.686, 336559968
117.836, 339952192
117.936, 337826080
118.036, 339424768
118.136, 336965184
118.236, 337669088
118.386, 337589984
118.486, 338371168
118.586, 338736992
118.786, 338990176
118.886, 340549792
119.036, 339353664
119.136, 340939168
119.236, 342247488
119.336, 343163168
119.586, 343100960
119.686, 343433984
119.786, 344765984
119.886, 344344480
119.986, 344233568
120.086, 343812384
120.236, 345917568
120.336, 345252768
120.436, 343369184
120.536, 344587968
120.636, 339188288
120.736, 331748992
120.886, 314664576
120.986, 302781376
121.086, 288065696
121.186, 279717184
121.286, 273732768
121.436, 277321184
121.586, 286312480
121.686, 298143968
121.786, 316314592
121.936, 330300288
122.036, 332300064
122.136, 334585280
122.236, 330969376
122.336, 328707168
122.486, 329374368
122.586, 326927968
122.686, 326371968
122.786, 325270368
122.886, 325673984
122.986, 326331584
123.086, 321945984
123.236, 324815168
123.336, 326149568
123.436, 326300672
123.536, 325673984
123.686, 314886592
123.786, 320432672
123.886, 320210080
123.986, 320033568
124.086, 319622368
124.186, 317316288
124.286, 311921984
124.386, 316314592
124.536, 313876992
124.636, 313368192
124.736, 314593568
124.836, 315484768
124.936, 314429984
125.086, 313537984
125.186, 309913184
125.286, 309131968
125.386, 308685568
125.486, 307063264
125.586, 305387776
125.686, 305611168
125.836, 304717568
125.936, 304990368
126.036, 303872384
126.136, 302018080
126.236, 299487968
126.386, 296575968
126.486, 295271392
126.586, 293178592
126.686, 290485792
126.786, 287856384
126.886, 285608384
127.036, 282937472
127.136, 281587488
127.236, 278121984
127.336, 275908768
127.436, 276114976
127.586, 275231968
127.686, 272314784
127.786, 272186368
127.886, 270069984
128.036, 269040672
128.186, 269165984
128.286, 267029088
128.386, 265106384
128.536, 261269776
128.636, 255370176
128.736, 226171488
128.836, 183753984
128.936, 154059184
129.086, 138878992
129.236, 129154392
129.336, 124103392
129.436, 119497496
129.536, 117029992
129.636, 116912496
129.786, 119630592
129.886, 124689888
129.986, 130443592
130.086, 133959592
130.186, 135014384
130.286, 136187296
130.436, 138646384
130.536, 138178784
130.636, 138530384
130.736, 144254592
130.836, 152279584
130.936, 168722384
131.086, 169245584
131.186, 170409584
131.286, 168342496
131.386, 171426192
131.486, 183500192
131.586, 203726992
131.686, 218539792
131.836, 228597088
131.936, 238503488
132.086, 240678976
132.186, 234077184
132.286, 221759984
132.386, 210094480
132.486, 200623792
132.586, 197329184
132.736, 201719184
132.836, 206156384
132.936, 211161584
133.036, 196029392
133.186, 125452792
133.286, 66202996
133.386, 29664698
133.486, 14772299
133.586, 9255399
133.686, 7458599.5
133.786, 6857099.5
133.886, 6742399.5
134.036, 6621999.5
134.236, 6627499.5
134.336, 6621999.5
134.436, 6506999.5
134.586, 6627499.5
134.686, 6632999.5
134.786, 6512399.5
135.086, 6632999.5
135.186, 6517799.5
135.636, 6638499.5
135.986, 6523199.5
136.086, 6517799.5
136.186, 6643999.5
136.536, 6523199.5
136.736, 6643999.5
136.836, 6528599.5
136.936, 6649499.5
137.186, 6528599.5
137.336, 6649499.5
137.486, 6654999.5
137.586, 6533999.5
137.786, 6528599.5
137.886, 6533999.5
137.986, 6654999.5
138.086, 6533999.5
138.336, 6654999.5
138.436, 10147199
138.536, 25163598
138.686, 39032496
138.786, 53191196
138.886, 64942796
138.986, 72714592
139.086, 82893592
139.186, 99268192
139.286, 121185992
139.386, 145106384
139.536, 173617392
139.636, 201259984
139.736, 223183584
139.836, 238003184
139.986, 242630784
140.086, 243993584
140.186, 242265584
140.286, 243091184
140.386, 243224976
140.486, 243914976
140.586, 245426384
140.686, 245901584
140.836, 247293184
140.936, 253395984
141.036, 263913280
141.136, 269723968
141.236, 273257984
141.386, 274826976
141.486, 277541696
141.586, 280137568
141.686, 282501472
141.786, 284180384
141.886, 286735584
141.986, 289762176
142.086, 296663968
142.236, 310911968
142.336, 328327168
142.436, 335057472
142.536, 336762176
142.786, 337127680
142.886, 337350272
142.986, 335792064
143.086, 335966368
143.286, 337328992
143.386, 336218976
143.486, 337550976
143.636, 338134080
143.736, 336692384
143.836, 338577664
143.936, 336638688
144.036, 336527968
144.286, 338188480
144.386, 338214784
144.486, 338435968
144.586, 338792992
144.686, 339013984
144.786, 338486368
144.936, 339282784
145.036, 340275488
145.136, 340517984
145.236, 340407776
145.336, 341530176
145.486, 342741280
145.586, 342429984
145.686, 343089984
145.786, 341439968
145.886, 339988768
145.986, 336084064
146.086, 334760480
146.236, 330206368
146.336, 328295488
146.436, 325495776
146.536, 323133280
146.636, 319436384
146.786, 316887968
146.886, 315288672
146.986, 312020992
147.086, 309524576
147.186, 305407168
147.286, 301734272
147.386, 297637184
147.486, 295070368
147.586, 293027776
147.736, 290308288
147.836, 289526368
147.936, 289079584
148.036, 285568768
148.286, 286096192
148.386, 286575872
148.486, 285792576
148.586, 283330784
148.686, 282575968
148.786, 281455968
148.886, 280671968
149.086, 278816992
149.186, 275921088
149.286, 273469184
149.436, 263289984
149.536, 246181488
149.636, 235565984
149.786, 229306992
149.886, 230444992
149.986, 230697280
150.086, 225202384
150.186, 204302480
150.286, 162540384
150.386, 122578488
150.536, 99574192
150.636, 77289992
150.836, 75873992
150.986, 82813392
151.086, 98531992
151.186, 115946992
151.286, 124381592
151.386, 140145584
151.486, 152236688
151.586, 157567184
151.686, 158516896
151.836, 153997184
151.936, 138641584
152.036, 145383584
152.236, 153964992
152.336, 169731888
152.436, 182647984
152.536, 187986592
152.686, 196415984
152.786, 189891984
152.886, 114804792
152.986, 60911196
153.086, 27291598
153.186, 13776999
153.286, 8984999
153.386, 7433799.5
153.536, 6834299.5
153.636, 6714399.5
153.736, 6599999.5
154.086, 6485399.5
154.186, 6599999.5
154.286, 6605499.5
154.386, 6485399.5
154.486, 6610999.5
154.586, 6490799.5
154.736, 6610999.5
155.136, 6490799.5
155.286, 6616499.5
155.486, 6621999.5
155.586, 6496199.5
155.686, 6501599.5
155.886, 6621999.5
155.986, 6501599.5
156.086, 6621999.5
156.436, 6506999.5
156.536, 6627499.5
156.686, 6506999.5
156.786, 6627499.5
157.186, 6506999.5
157.286, 6632999.5
157.536, 6512399.5
157.736, 6632999.5
157.986, 8193999.5
158.086, 15290799
158.186, 15303499
158.286, 22818998
158.386, 32759998
158.486, 41211196
158.586, 49275196
158.686, 61507196
158.836, 88488392
158.936, 138872992
159.036, 192653984
159.136, 227763184
159.286, 261057184
159.386, 279133472
159.486, 286019968
159.586, 290417376
159.686, 292169184
159.786, 295417184
159.886, 297302976
160.036, 299297888
160.136, 299894688
160.286, 305145984
160.386, 305324992
160.536, 309437184
160.636, 311130592
160.786, 311750080
160.886, 314607968
160.986, 316117472
161.086, 318070976
161.186, 319747968
161.286, 321137472
161.386, 324309568
161.536, 323461472
161.636, 324173984
161.736, 326442880
161.836, 328334976
161.986, 328744864
162.086, 330744672
162.186, 331966784
162.286, 331036480
162.386, 331701888
162.486, 330183968
162.586, 332399968
162.686, 329075968
162.786, 330218080
162.936, 331103680
163.036, 331246976
163.136, 333458976
163.236, 332273472
163.336, 332604992
163.486, 332383968
163.586, 333849568
163.686, 333297568
163.786, 332414368
163.936, 333436864
164.036, 333905984
164.136, 333575392
164.236, 333134592
164.336, 333823168
164.486, 335694880
164.586, 336025184
164.686, 334839968
164.786, 334399968
164.886, 335304864
164.986, 335634592
165.086, 336097792
165.186, 337195776
165.336, 337634976
165.436, 337327488
165.536, 337546880
165.686, 335901376
165.786, 333713088
165.936, 259895776
166.036, 132412488
166.136, 62212496
166.236, 26967598
166.386, 13208999
166.486, 8686999
166.586, 7265099.5
166.686, 6675199.5
166.786, 6555999.5
166.886, 6442199.5
167.236, 6447599.5
167.336, 6566999.5
167.436, 6572499.5
167.686, 6577999.5
167.786, 6463799.5
167.886, 6583499.5
167.986, 6463799.5
168.086, 6588999.5
168.636, 6474599.5
168.736, 6594499.5
168.836, 6474599.5
169.086, 6599999.5
169.186, 6479999.5
169.286, 6599999.5
169.486, 6605499.5
169.586, 6485399.5
169.736, 6605499.5
169.936, 6485399.5
170.036, 6605499.5
170.136, 6485399.5
170.286, 6610999.5
170.386, 6490799.5
170.486, 6605499.5
170.586, 8647199
170.686, 12719999
170.786, 17145698
170.886, 21084798
170.986, 26453698
171.136, 32291998
171.236, 38088596
171.336, 44618196
171.436, 58260996
171.536, 73706992
171.686, 89477392
171.786, 105666592
171.886, 117129592
171.986, 121598392
172.086, 122774392
172.186, 123950392
172.286, 123009592
172.386, 122774392
172.486, 122421592
172.636, 122552488
172.736, 123362392
172.836, 123844992
172.936, 123609992
173.086, 124667488
173.186, 124432488
173.286, 125030992
173.386, 126791992
173.536, 128670392
173.636, 129492192
173.736, 130672192
173.836, 130431392
173.936, 132084392
174.086, 133607992
174.186, 133018192
174.286, 133725192
174.386, 135365984
174.486, 137358384
174.586, 137943792
174.686, 138880592
174.836, 140637088
174.936, 142979088
175.036, 141808096
175.136, 142622992
175.236, 144371488
175.386, 146241888
175.486, 146709488
175.586, 147527792
175.686, 148219184
175.786, 151372784
175.886, 152876992
175.986, 154844784
176.186, 156925488
176.286, 159371984
176.386, 160420496
176.486, 161818496
176.586, 162610784
176.686, 163891184
176.786, 164007584
176.936, 164822384
177.036, 165611184
177.136, 167560384
177.236, 170697792
177.336, 171595792
177.436, 174614384
177.586, 177363984
177.686, 179297280
177.786, 182384992
177.886, 185351392
177.986, 187595984
178.086, 188359584
178.186, 189053792
178.286, 190624384
178.436, 191960992
178.536, 194910592
178.636, 196410784
178.736, 198487984
178.836, 199641984
178.986, 199123088
179.086, 200621984
179.186, 202291184
179.286, 202982384
179.386, 205453488
179.486, 205964992
179.586, 206884992
179.686, 209577584
179.836, 212724384
179.936, 214561184
180.036, 214833088
180.136, 217700592
180.236, 219573584
180.386, 222931488
180.536, 224109584
180.636, 226626384
180.786, 227914192
180.886, 230112992
180.986, 230683984
181.086, 231825984
181.236, 233699984
181.336, 234589584
181.436, 233790880
181.536, 233813984
181.736, 235659088
181.886, 236456384
181.986, 237025888
182.086, 238164880
182.186, 238752384
182.286, 238050976
182.386, 237728176
182.486, 237500576
182.586, 237841984
182.686, 239452176
182.836, 239662784
182.936, 240248080
183.036, 240491184
183.136, 243116976
183.236, 245273488
183.386, 246181488
183.486, 246531584
183.586, 248920080
183.686, 248693488
183.786, 248345984
183.886, 248013680
183.986, 250058784
184.086, 252102976
184.236, 254475984
184.436, 256510784
184.536, 259322688
184.636, 256850784
184.786, 248920080
184.886, 252783088
184.986, 265701776
185.086, 277535968
185.186, 269153568
185.286, 264599984
185.386, 261927984
185.486, 262140176
185.636, 260111584
185.736, 257970288
185.836, 256281584
185.936, 255717584
186.036, 254250784
186.136, 252105680
186.286, 252218576
186.386, 251879888
186.486, 252218576
186.586, 252784784
186.686, 252783088
186.836, 251879888
186.936, 251766976
187.036, 250750880
187.136, 250412176
187.236, 252559184
187.336, 253010384
187.486, 252105680
187.586, 250637984
187.686, 249390976
187.786, 249396080
187.886, 248373984
187.986, 246347776
188.086, 248611184
188.286, 248041280
188.386, 247928384
188.536, 248605776
188.636, 248272784
188.736, 248836784
188.836, 249626384
188.986, 249175184
189.086, 247250976
189.186, 245557488
189.286, 246355184
189.386, 246678976
189.486, 244531984
189.586, 243976880
189.686, 244541376
189.836, 244428480
189.936, 243073680
190.036, 242271984
190.136, 242723984
190.286, 241706976
190.386, 241242288
190.486, 242509184
190.586, 243751088
190.686, 243288976
190.786, 243638176
190.886, 241718880
191.036, 243422384
191.136, 243525280
191.236, 242497984
191.336, 241493088
191.436, 239785984
191.536, 240237984
191.686, 237849280
191.786, 236734976
191.886, 236395984
192.086, 237057584
192.186, 236831376
192.286, 234003888
192.386, 234682480
192.486, 235813488
192.586, 236378976
192.686, 236056976
192.836, 234663584
192.936, 232852384
193.036, 232059984
193.136, 230905392
193.286, 228979280
193.386, 227732992
193.486, 227959584
193.586, 227506384
193.686, 228186192
193.786, 229432480
193.886, 231515680
193.986, 232872880
194.136, 232420480
194.286, 233212176
194.386, 233325280
194.486, 235960976
194.586, 236169984
194.686, 234908688
194.786, 234230080
194.886, 231493984
194.986, 230701584
195.086, 231536976
195.186, 233325280
195.336, 234926976
195.436, 235021776
195.536, 234230080
195.636, 235735184
195.786, 237782384
195.936, 238218976
196.036, 238106080
196.186, 238557680
196.286, 238106080
196.386, 238120784
196.686, 238684784
196.786, 239135984
196.886, 238331888
197.036, 238007984
197.136, 238233584
197.236, 238007984
197.336, 237895184
197.486, 237202880
197.586, 211736192
197.686, 114602096
197.786, 27965998
197.886, 15299399
198.086, 9377299
198.186, 7478099.5
198.286, 6884599.5
198.386, 6652799.5
198.486, 6533999.5
198.636, 6539499.5
198.936, 6544999.5
199.236, 6550499.5
199.686, 6555999.5
200.236, 6561499.5
200.736, 6442199.5
200.836, 6561499.5
200.986, 6447599.5
201.086, 6566999.5
201.186, 6447599.5
201.386, 6566999.5
201.486, 6452999.5
201.586, 6566999.5
201.686, 6572499.5
201.836, 6452999.5
201.936, 6572499.5
202.036, 6452999.5
202.136, 6572499.5
202.236, 6452999.5
202.386, 6577999.5
202.936, 6458399.5
203.036, 6577999.5
203.136, 6458399.5
203.236, 6463799.5
203.536, 6583499.5
203.636, 7773999.5
203.736, 23343598
203.886, 38491196
203.986, 55884796
204.086, 79565192
204.186, 114365992
204.286, 144196192
204.386, 165798096
204.486, 176326784
204.636, 181681488
204.736, 188284880
204.836, 193252880
204.936, 205771792
205.036, 210978592
205.186, 213614384
205.286, 216977488
205.386, 218351488
205.486, 219762384
205.586, 221513392
205.686, 222461584
205.786, 225689792
205.936, 229139984
206.036, 231103088
206.136, 234427984
206.236, 237405584
206.336, 239241584
206.436, 243016176
206.536, 245294480
206.686, 248693488
206.786, 250064080
206.886, 254362976
206.986, 256960384
207.086, 259327184
207.186, 261351280
207.286, 263483984
207.436, 264947776
207.536, 268199984
207.636, 269197984
207.736, 272102880
207.836, 272888992
207.936, 273113568
208.086, 274441184
208.186, 276863968
208.286, 279551968
208.386, 282853984
208.486, 281764192
208.586, 280757088
208.736, 281540384
208.836, 279723584
208.936, 281176992
209.036, 280953376
209.136, 280366976
209.286, 282459584
209.386, 282794368
209.536, 283432992
209.636, 284770976
209.736, 285105472
209.836, 286075168
209.986, 286486176
210.086, 287265280
210.186, 286708768
210.286, 285929664
210.386, 285295392
210.486, 283926272
210.586, 282510368
210.686, 282145472
210.836, 282813280
210.936, 283035872
211.036, 281366368
211.186, 279919488
211.286, 279168384
211.386, 277188992
211.486, 277300480
211.586, 274624480
211.686, 272951968
211.786, 274155392
211.886, 272282976
212.036, 270833472
212.136, 271279488
212.236, 270813376
212.336, 271167968
212.436, 269606976
212.536, 267839984
212.686, 266739584
212.786, 261377984
212.886, 255479376
212.986, 257572784
213.086, 266229584
213.186, 272106368
213.286, 274441568
213.386, 275553568
213.536, 266881488
213.636, 254466976
213.736, 252670176
213.836, 260118976
213.936, 270839968
214.036, 277638880
214.186, 260303984
214.286, 234022976
214.386, 209094288
214.486, 191177984
214.586, 191188784
214.686, 203986384
214.786, 198580992
214.886, 197943984
215.036, 197383184
215.136, 199532992
215.236, 198965488
215.336, 198118384
215.436, 197951680
215.586, 197383184
215.786, 197155792
215.886, 197436784
215.986, 195905088
216.086, 193915184
216.186, 192663392
216.286, 177138880
216.436, 97275992
216.536, 50107496
216.636, 24092398
216.736, 12765599
216.836, 8517599
216.936, 7097999.5
217.086, 6748799.5
217.186, 6511999.5
217.286, 6517499.5
217.486, 6398999.5
217.586, 6522999.5
217.886, 6404399.5
218.036, 6528499.5
218.336, 6533999.5
218.886, 6539499.5
218.986, 6533999.5
219.086, 6420599.5
219.186, 6539499.5
219.286, 6420599.5
219.436, 6539499.5
219.536, 6544999.5
219.736, 6425999.5
219.836, 6544999.5
219.986, 6425999.5
220.086, 6544999.5
220.186, 6431399.5
220.336, 6550499.5
220.586, 6431399.5
220.936, 6550499.5
221.036, 6555999.5
221.236, 6550499.5
221.336, 6555999.5
221.536, 6436799.5
221.686, 6555999.5
221.886, 15443999
221.986, 31876498
222.086, 53834596
222.186, 83140992
222.336, 104274792
222.436, 108950792
222.536, 114716096
222.636, 114445096
222.786, 114365992
222.886, 122208488
222.986, 127334488
223.086, 129785992
223.186, 135024288
223.286, 140480992
223.386, 139436096
223.486, 136767392
223.636, 138042896
223.736, 139784384
223.836, 141751984
223.936, 143715984
224.086, 144874992
224.186, 148223984
224.386, 149381984
224.486, 150757088
224.586, 151335584
224.686, 152823184
224.836, 154788384
224.936, 157657488
225.036, 159367392
225.136, 161559984
225.236, 144117584
225.336, 40239296
225.586, 19261798
225.686, 10947999
225.786, 7972999.5
225.886, 7026899.5
225.986, 6669599.5
226.086, 6550499.5
226.186, 6431399.5
226.336, 6436799.5
226.436, 6431399.5
226.536, 6436799.5
226.636, 6555999.5
226.736, 6436799.5
227.086, 6442199.5
227.186, 6561499.5
227.286, 6442199.5
227.386, 6561499.5
227.586, 7032799.5
227.686, 24668798
227.786, 41795196
227.886, 58596296
228.036, 125155792
228.236, 147077088
228.336, 155866784
228.436, 161864288
228.586, 165539184
228.686, 171368992
228.886, 172834688
228.986, 177714384
229.086, 177753584
229.186, 188271984
229.386, 195334080
229.486, 191715984
229.636, 193903184
229.736, 197741488
229.836, 200489488
229.936, 202602384
230.086, 205054192
230.186, 207615584
230.286, 209487584
230.386, 211427280
230.486, 214433984
230.586, 215840480
230.686, 218495984
230.786, 220202992
230.936, 222056080
231.036, 225183984
231.236, 225978480
231.336, 228160784
231.436, 229975184
231.536, 230678784
231.686, 233531584
231.786, 233644784
231.886, 236734976
231.986, 238783488
232.086, 241041488
232.236, 242632784
232.336, 244558976
232.436, 246587584
